Game Title,HollowPoiint Videos,Sample Video URL,Sample Video Title,Steam URL,Steam App ID,Price (USD),Genres,Categories,Developer,Publisher,AAA / Indie,Steam Deck,Release Date,Review Count,Metacritic,Short Description,Platforms
The Last of Us 2,30,https://youtube.com/watch?v=8gHkakRph00,The Last of Us 2 - NEW GROUNDED UPDATE GAMEPLAY,,,,,,,,,,,,,,
The Last of Us,18,https://youtube.com/watch?v=uuk5NatBrRs,The Last of Us - Official Teaser Trailer REACTION (HBO MAX),https://store.steampowered.com/app/1888930,1888930,$59.99,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Adjustable Text Size, Camera Comfort, Color Alternatives, Custom Volume Controls, Adjustable Difficulty, Narrated Game Menus, Save Anytime, Stereo Sound, Subtitle Options, Surround Sound, Steam Cloud, Remote Play on TV, Family Sharing","Naughty Dog LLC, Iron Galaxy Studios",PlayStation Publishing LLC,AAA,Verified,"Mar 28, 2023","60,286 reviews",,"Discover the award-winning game that inspired the critically acclaimed television show. Guide Joel and Ellie through a post-apocalyptic America, and encounter unforgettable allies and enemies in The L",Windows
Resident Evil 4 Remake,15,https://youtube.com/watch?v=V5v9R7H-_o4,Resident Evil 4 Remake - FULL GAME (No Commentary),https://store.steampowered.com/app/2050650,2050650,$39.99,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, HDR available, Family Sharing","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",AAA,Verified,"Mar 23, 2023","155,317 reviews",91,"Survival is just the beginning. Six years have passed since the biological disaster in Raccoon City. Leon S. Kennedy, one of the survivors, tracks the president's kidnapped daughter to a secluded Euro",Windows
Resident Evil 8 Village,14,https://youtube.com/watch?v=QRiKNtqtG00,Resident Evil 8 Village - Part 11 - ENDING (I Cried),,,,,,,,,,,,,,
Dying Light 2,14,https://youtube.com/watch?v=GDWa6yseMf8,Dying Light 2 - Part 12 - ENDING,https://store.steampowered.com/app/534380,534380,$59.99,"Action, Adventure, RPG","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",Techland,Techland,AAA,Verified,"Feb 3, 2022","158,402 reviews",,"Humanity is fighting a losing battle against the virus. Experience a post-apocalyptic open world overrun by hordes of zombies, where your parkour and combat skills are key to survival. Traverse the Ci",Windows
The Callisto Protocol,13,https://youtube.com/watch?v=yHEetnw8IUc,The Callisto Protocol - The Full Game (No Commentary),https://store.steampowered.com/app/1544020,1544020,$59.99,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",Striking Distance Studios,"KRAFTON, Inc.",AAA,Verified,"Dec 1, 2022","34,472 reviews",,Survive to escape the horrors of Callisto and uncover the dark secrets of Jupiter’s dead moon.,Windows
Dying Light,13,https://youtube.com/watch?v=kZ-JrHReQh4,Dying Light - Part 10 - THIS ENDING FELT SO GOOD!,https://store.steampowered.com/app/239140,239140,$24.99,"Action, RPG","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Valve Anti-Cheat enabled, Includes level editor, Remote Play on Tablet, Remote Play on TV, Family Sharing",Techland,Techland,AAA,Verified,"Jan 26, 2015","367,871 reviews",87,"First-person action survival game set in a post-apocalyptic open world overrun by flesh-hungry zombies. Roam a city devastated by a mysterious virus epidemic. Scavenge for supplies, craft weapons, and","Windows, Mac, Linux"
Sons of the Forest,10,https://youtube.com/watch?v=6BJ7Yv3NyjQ,Sons of the Forest - Ending,https://store.steampowered.com/app/1326470,1326470,$29.99,"Action, Adventure, Indie, Simulation","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",Endnight Games Ltd,Newnight ,AA,Unsupported,"Feb 22, 2024","266,813 reviews",,"Sent to find a missing billionaire on a remote island, you find yourself in a cannibal-infested hellscape. Craft, build, and struggle to survive, alone or with friends, in this terrifying new open-wor",Windows
Resident Evil 3 Remake,8,https://youtube.com/watch?v=ue_16447UIk,Resident Evil 3 Remake - FULL GAME,https://store.steampowered.com/app/952060,952060,$39.99,Action,"Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Tablet, HDR available, Family Sharing","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",AAA,Playable,"Apr 2, 2020","76,797 reviews",77,"Jill Valentine is one of the last remaining people in Raccoon City to witness the atrocities Umbrella performed. To stop her, Umbrella unleashes their ultimate secret weapon: Nemesis! Also includes Re",Windows
Dead Island 2,8,https://youtube.com/watch?v=fgwrV14fFJE,Dead Island 2 - FULL GAME (No Commentary),https://store.steampowered.com/app/934700,934700,$49.99,"Action, Adventure","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Adjustable Text Size, Camera Comfort, Custom Volume Controls, Adjustable Difficulty, Keyboard Only Option, Stereo Sound, Subtitle Options, Steam Cloud, Family Sharing",Dambuster Studios,Deep Silver,AAA,Playable,"Apr 22, 2024","18,281 reviews",,"A deadly virus is spreading across Los Angeles, turning its inhabitants into zombies. Bitten, infected, but more than just immune, uncover the truth behind the outbreak and discover who - or what - yo","Windows, Mac"
Resident Evil Requiem,8,https://youtube.com/watch?v=sGbpS0iN1W0,Resident Evil Requiem - Ending,https://store.steampowered.com/app/3764200,3764200,$69.99,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, HDR available, Family Sharing","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",AAA,Playable,"Feb 26, 2026","90,692 reviews",92,Requiem for the dead. Nightmare for the living. Prepare to escape death in a heart-stopping experience that will chill you to your core.,Windows
Outlast,8,https://youtube.com/watch?v=UAwbkbp0IuE,Outlast - Part 3 - I CANT TAKE IT ANYMORE,https://store.steampowered.com/app/238320,238320,$14.99,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Remote Play on TV, Family Sharing",Red Barrels,Red Barrels,Indie,Playable,"Sep 4, 2013","100,159 reviews",80,"Hell is an experiment you can't survive in Outlast, a first-person survival horror game developed by veterans of some of the biggest game franchises in history. As investigative journalist Miles Upshu","Windows, Mac, Linux"
Dying Light The Beast,7,https://youtube.com/watch?v=m3BPsMngIdw,Dying Light The Beast - ENDING / FINAL BOSS,https://store.steampowered.com/app/3008130,3008130,$59.99,"Action, Adventure, RPG","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Cloud, Remote Play on TV, Family Sharing",Techland,Techland,AAA,Verified,"Sep 18, 2025","54,948 reviews",,"BECOME THE BEAST. SURVIVE THE NIGHT. A terrifying new chapter in the Dying Light universe begins. As Kyle Crane, explore the vast and unpredictable wilderness, uncover a deadly evolution of the infect",Windows
Dead Space Remake,7,https://youtube.com/watch?v=zhzukNK5UqM,Dead Space Remake - Part 5 - ENDING,https://store.steampowered.com/app/1693980,1693980,$59.99,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Camera Comfort, Color Alternatives, Custom Volume Controls, Adjustable Difficulty, Keyboard Only Option, Stereo Sound, Subtitle Options, Surround Sound, Steam Cloud, HDR available, Family Sharing",Motive,Electronic Arts,AAA,Playable,"Jan 27, 2023","56,060 reviews",87,"The sci-fi survival-horror classic returns, completely rebuilt to offer an even more immersive experience — including visual, audio, and gameplay improvements — while staying faithful to the original ",Windows
Alan Wake 2,6,https://youtube.com/watch?v=ReNqNwwJLz0,Alan Wake 2 - The Lake House (FULL GAME),,,,,,,,,,,,,,
The Quarry,6,https://youtube.com/watch?v=dLxTtLII9ag,The Quarry -  GOOD & BAD ENDING,https://store.steampowered.com/app/1577120,1577120,$59.99,Adventure,"Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Family Sharing",Supermassive Games,2K Games,AAA,Unsupported,"Jun 9, 2022","13,911 reviews",,"When the sun goes down on the last night of summer camp, nine teenage counselors are plunged into an unpredictable night of horror. The only thing worse than the blood-drenched locals and creatures hu",Windows
Until Dawn,6,https://youtube.com/watch?v=JZPf1pIfFts,Until Dawn PS5 - Part 6  - ENDING,https://store.steampowered.com/app/2172010,2172010,$59.99,Adventure,"Single-player, Steam Achievements, Full controller support, Adjustable Text Size, Camera Comfort, Custom Volume Controls, Adjustable Difficulty, Narrated Game Menus, Playable without Timed Input, Stereo Sound, Subtitle Options, Surround Sound, Steam Cloud, Family Sharing",Ballistic Moon,PlayStation Publishing LLC,AAA,Unsupported,"Oct 4, 2024","3,108 reviews",,"Rebuilt and enhanced for PC – Until Dawn invites you to relive the nightmare, and immerse yourself in a gripping slasher horror where every decision can make the difference between life and death.",Windows
Outlast 2,6,https://youtube.com/watch?v=TOQPh_nFWsY,Outlast 2 - Part 6 - THE DEVILS BABY 😳 (ENDING),https://store.steampowered.com/app/414700,414700,$19.99,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",Red Barrels,Red Barrels,Indie,Playable,"Apr 24, 2017","52,289 reviews",75,"Outlast 2 introduces you to Sullivan Knoth and his followers, who left our wicked world behind to give birth to Temple Gate, a town, deep in the wilderness and hidden from civilization. Knoth and his ",Windows
Little Nightmares 2,6,https://youtube.com/watch?v=1lKlBjh4q-8,Little Nightmares 2 - Part 4 - ESCAPE THE THIN MAN..,https://store.steampowered.com/app/860510,860510,$29.99,Adventure,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Family Sharing",Tarsier Studios,BANDAI NAMCO Entertainment,AAA,Verified,"Feb 10, 2021","47,870 reviews",83,Little Nightmares II is the second game in a series that has thrilled and captivated millions of players worldwide since 2017. Now it’s your turn to try to survive this critically acclaimed entry in t,Windows
Dead Island,6,https://youtube.com/watch?v=pTVPiQLs_ag,Dead Island - Part 7 - THE CATACOMBS,https://store.steampowered.com/app/934700,934700,$49.99,"Action, Adventure","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Adjustable Text Size, Camera Comfort, Custom Volume Controls, Adjustable Difficulty, Keyboard Only Option, Stereo Sound, Subtitle Options, Steam Cloud, Family Sharing",Dambuster Studios,Deep Silver,AAA,Playable,"Apr 22, 2024","18,281 reviews",,"A deadly virus is spreading across Los Angeles, turning its inhabitants into zombies. Bitten, infected, but more than just immune, uncover the truth behind the outbreak and discover who - or what - yo","Windows, Mac"
Alan Wake Remastered,5,https://youtube.com/watch?v=yRh3nmsIRe4,Alan Wake Remastered - Part 5 - PRISON,https://store.steampowered.com/app/108710,108710,$14.99,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",Remedy Entertainment,Remedy Entertainment,AAA,Verified,"Feb 16, 2012","42,578 reviews",83,"A Dark Presence stalks the small town of Bright Falls, pushing Alan Wake to the brink of sanity in his fight to unravel the mystery and save his love.",Windows
Dead Space,5,https://youtube.com/watch?v=06PVJVqfIZw,Dead Space - Part 6  - ITS FINALLY OVER (ENDING),https://store.steampowered.com/app/1693980,1693980,$59.99,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Camera Comfort, Color Alternatives, Custom Volume Controls, Adjustable Difficulty, Keyboard Only Option, Stereo Sound, Subtitle Options, Surround Sound, Steam Cloud, HDR available, Family Sharing",Motive,Electronic Arts,AAA,Playable,"Jan 27, 2023","56,060 reviews",87,"The sci-fi survival-horror classic returns, completely rebuilt to offer an even more immersive experience — including visual, audio, and gameplay improvements — while staying faithful to the original ",Windows
The Wolf Among Us,5,https://youtube.com/watch?v=lEIwDTjBUzY,The Wolf Among Us: Episode 5 - THE MOST SHOCKING ENDING,https://store.steampowered.com/app/250320,250320,$14.99,"Action, Adventure, Casual","Single-player, Steam Achievements, Full controller support, Remote Play on TV, Family Sharing",Telltale,Telltale,Indie,Playable,"Oct 11, 2013","31,333 reviews",85,"From the makers of the 2012 Game of the Year: The Walking Dead, comes a thriller based on the award-winning Fables comic books. As Bigby Wolf you will discover that a brutal, bloody murder is just a t",Windows
Blair Witch,5,https://youtube.com/watch?v=ZCbfjsowLis,Blair Witch - ENDING (SO SAD),https://store.steampowered.com/app/1092660,1092660,$29.99,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",Bloober Team SA,Bloober Team NA,AAA,Unsupported,"Aug 30, 2019","6,243 reviews",69,"A first-person, story-driven psychological horror game based on the cinematic lore of the Blair Witch. Explore the haunted grounds of the Black Hills Forest in a harrowing investigation that forces yo",Windows
